"","country","daysuntildrop","continent","location","date","population_density","gdp_per_capita","hospital_beds_per_thousand","cardiovasc_death_rate","diabetes_prevalence","handwashing_facilities","people_vaccinated_per_hundred","new_deaths_per_million","daystil"
"1","AFG",2021-01-02,"Asia","Afghanistan",2020-03-11,54.422,1803.987,0.5,597.029,9.59,37.746,NA,0,297
"2","DZA",2021-01-02,"Africa","Algeria",2020-03-11,17.348,13913.839,1.9,278.364,6.73,83.741,NA,0,297
"3","ASM",2021-01-02,"Oceania","American Samoa",2020-03-11,278.205,NA,NA,283.75,NA,NA,NA,0,297
"4","AND",2021-01-02,"Europe","Andorra",2020-03-11,163.755,NA,NA,109.135,7.97,NA,NA,0,297
"5","AGO",2021-01-02,"Africa","Angola",2020-03-11,23.89,5819.495,NA,276.045,3.94,26.664,NA,0,297
"6","AIA",2021-01-02,"North America","Anguilla",2020-03-11,NA,NA,NA,NA,NA,NA,NA,0,297
"7","ATG",2021-01-02,"North America","Antigua and Barbuda",2020-03-11,231.845,21490.943,3.8,191.511,13.17,NA,NA,0,297
"8","ABW",2021-01-02,"North America","Aruba",2020-03-11,584.8,35973.781,NA,NA,11.62,NA,NA,0,297
"9","AUS",2021-01-02,"Oceania","Australia",2020-03-11,3.202,44648.71,3.84,107.791,5.07,NA,NA,0,297
"10","BHR",2021-01-02,"Asia","Bahrain",2020-03-11,1935.907,43290.705,2,151.689,16.52,NA,NA,0,297
"11","BGD",2021-01-02,"Asia","Bangladesh",2020-03-11,1265.036,3523.984,0.8,298.003,8.38,34.808,NA,0,297
"12","BRB",2021-01-02,"North America","Barbados",2020-03-11,664.463,16978.068,5.8,170.05,13.57,88.469,NA,0,297
"13","BLR",2021-01-02,"Europe","Belarus",2020-03-11,46.858,17167.967,11,443.129,5.18,NA,NA,0,297
"14","BEN",2021-01-02,"Africa","Benin",2020-03-11,99.11,2064.236,0.5,235.848,0.99,11.035,NA,0,297
"15","BMU",2021-01-02,"North America","Bermuda",2020-03-11,1308.82,50669.315,NA,139.547,13,NA,NA,0,297
"16","BTN",2021-01-02,"Asia","Bhutan",2020-03-11,21.188,8708.597,1.7,217.066,9.75,79.807,NA,0,297
"17","BES",2021-01-02,"North America","Bonaire Sint Eustatius and Saba",2020-03-11,NA,NA,NA,NA,NA,NA,NA,0,297
"18","BWA",2021-01-02,"Africa","Botswana",2020-03-11,4.044,15807.374,1.8,237.372,4.81,NA,NA,0,297
"19","VGB",2021-01-02,"North America","British Virgin Islands",2020-03-11,207.973,NA,NA,NA,13.67,NA,NA,0,297
"20","BRN",2021-01-02,"Asia","Brunei",2020-03-11,81.347,71809.251,2.7,201.285,12.79,NA,NA,0,297
"21","BFA",2021-01-02,"Africa","Burkina Faso",2020-03-11,70.151,1703.102,0.4,269.048,2.42,11.877,NA,0,297
"22","BDI",2021-01-02,"Africa","Burundi",2020-03-11,423.062,702.225,0.8,293.068,6.05,6.144,NA,0,297
"23","KHM",2021-01-02,"Asia","Cambodia",2020-03-11,90.672,3645.07,0.8,270.892,4,66.229,NA,0,297
"24","CMR",2021-01-02,"Africa","Cameroon",2020-03-11,50.885,3364.926,1.3,244.661,7.2,2.735,NA,0,297
"25","CPV",2021-01-02,"Africa","Cape Verde",2020-03-11,135.58,6222.554,2.1,182.219,2.42,NA,NA,0,297
"26","CYM",2021-01-02,"North America","Cayman Islands",2020-03-11,256.496,49903.029,NA,NA,13.22,NA,NA,0,297
"27","CAF",2021-01-02,"Africa","Central African Republic",2020-03-11,7.479,661.24,1,435.727,6.1,16.603,NA,0,297
"28","TCD",2021-01-02,"Africa","Chad",2020-03-11,11.833,1768.153,NA,280.995,6.1,5.818,NA,0,297
"29","CHN",2021-01-02,"Asia","China",2020-03-11,147.674,15308.712,4.34,261.899,9.74,NA,NA,0.015,297
"30","COM",2021-01-02,"Africa","Comoros",2020-03-11,437.352,1413.89,2.2,261.516,11.88,15.574,NA,0,297
"31","COK",2021-01-02,"Oceania","Cook Islands",2020-03-11,NA,NA,NA,NA,NA,NA,NA,0,297
"32","CIV",2021-01-02,"Africa","Cote d'Ivoire",2020-03-11,76.399,3601.006,NA,303.74,2.42,19.351,NA,0,297
"33","CUB",2021-01-02,"North America","Cuba",2020-03-11,110.408,NA,5.2,190.968,8.27,85.198,NA,0,297
"34","CUW",2021-01-02,"North America","Curacao",2020-03-11,362.644,NA,NA,NA,11.62,NA,NA,0,297
"35","COD",2021-01-02,"Africa","Democratic Republic of Congo",2020-03-11,35.879,808.133,NA,318.949,6.1,4.472,NA,0,297
"36","DJI",2021-01-02,"Africa","Djibouti",2020-03-11,41.285,2705.406,1.4,258.037,6.05,NA,NA,0,297
"37","DMA",2021-01-02,"North America","Dominica",2020-03-11,98.567,9673.367,3.8,227.376,11.62,NA,NA,0,297
"38","DOM",2021-01-02,"North America","Dominican Republic",2020-03-11,222.873,14600.861,1.6,266.653,8.2,55.182,NA,0,297
"39","ECU",2021-01-02,"South America","Ecuador",2020-03-11,66.939,10581.936,1.5,140.448,5.55,80.635,NA,0,297
"40","EGY",2021-01-02,"Africa","Egypt",2020-03-11,97.999,10550.206,1.6,525.432,17.31,89.827,NA,0,297
"41","GNQ",2021-01-02,"Africa","Equatorial Guinea",2020-03-11,45.194,22604.873,2.1,202.812,7.78,24.64,NA,0,297
"42","ERI",2021-01-02,"Africa","Eritrea",2020-03-11,44.304,1510.459,0.7,311.11,6.05,NA,NA,0,297
"43","ETH",2021-01-02,"Africa","Ethiopia",2020-03-11,104.957,1729.927,0.3,182.634,7.47,7.96,NA,0,297
"44","FRO",2021-01-02,"Europe","Faeroe Islands",2020-03-11,35.308,NA,NA,NA,NA,NA,NA,0,297
"45","FLK",2021-01-02,"South America","Falkland Islands",2020-03-11,NA,NA,NA,NA,NA,NA,NA,0,297
"46","FJI",2021-01-02,"Oceania","Fiji",2020-03-11,49.562,8702.975,2.3,412.82,14.49,NA,NA,0,297
"47","GUF",2021-01-02,"South America","French Guiana",2020-03-11,NA,NA,NA,NA,NA,NA,NA,0,297
"48","PYF",2021-01-02,"Oceania","French Polynesia",2020-03-11,77.324,NA,NA,NA,22.63,NA,NA,0,297
"49","GAB",2021-01-02,"Africa","Gabon",2020-03-11,7.859,16562.413,6.3,259.967,7.2,NA,NA,0,297
"50","GMB",2021-01-02,"Africa","Gambia",2020-03-11,207.566,1561.767,1.1,331.43,1.91,7.876,NA,0,297
"51","GHA",2021-01-02,"Africa","Ghana",2020-03-11,126.719,4227.63,0.9,298.245,4.97,41.047,NA,0,297
"52","GRL",2021-01-02,"North America","Greenland",2020-03-11,0.137,NA,NA,199.941,2.16,NA,NA,0,297
"53","GRD",2021-01-02,"North America","Grenada",2020-03-11,317.132,13593.877,3.7,243.964,10.71,NA,NA,0,297
